Volume,TransX_mm,TransY_mm,TransZ_mm,RotPitch_deg,RotRoll_deg,RotYaw_deg,FD_mm
77,-0.038903,0.000938,-0.015144,0.065783,-0.267461,-0.293806,0.086874
78,-0.039646,-0.006659,-0.022954,0.131124,-0.277950,-0.302236,0.089682
79,-0.045768,-0.039174,-0.014518,0.124602,-0.279938,-0.294501,0.061250
80,-0.014613,0.000692,-0.040820,0.125308,-0.253960,-0.261772,0.149171
81,-0.035492,-0.021785,-0.028950,0.103344,-0.291268,-0.351802,0.185516
82,-0.054987,-0.034193,-0.014017,0.086772,-0.325550,-0.369451,0.106618
83,-0.033794,-0.003148,-0.020352,0.061574,-0.300243,-0.317889,0.147644
84,-0.041004,-0.016352,-0.022501,0.086674,-0.264170,-0.273787,0.114433
85,-0.032353,-0.011768,-0.016142,0.120080,-0.283750,-0.279804,0.071086
86,-0.018374,-0.005854,-0.023769,0.114732,-0.270565,-0.282481,0.046029
87,-0.048970,-0.020888,-0.017203,0.072813,-0.316844,-0.294567,0.139709
88,-0.058852,-0.005403,-0.020996,0.103057,-0.351468,-0.330634,0.117241
89,-0.056889,0.005646,-0.023184,0.108658,-0.288297,-0.259169,0.137581
90,-0.049183,-0.006372,-0.018632,0.090896,-0.323603,-0.328193,0.130822
91,-0.068229,0.006449,-0.030172,0.057305,-0.290121,-0.244216,0.175223
92,-0.032596,-0.000297,-0.019432,0.090510,-0.290783,-0.229279,0.095709
93,-0.040012,-0.017502,0.002044,0.099045,-0.311189,-0.329458,0.158775
94,-0.029518,-0.017032,-0.007417,0.069259,-0.260856,-0.242126,0.166553
95,-0.030358,-0.032141,-0.003758,0.109583,-0.282111,-0.299220,0.123168
96,-0.069955,-0.031742,-0.034735,0.088351,-0.272288,-0.246061,0.144465
97,-0.071899,-0.023801,-0.014499,0.107797,-0.341253,-0.327221,0.178099
98,-0.020444,-0.016128,-0.011383,0.115860,-0.285482,-0.270647,0.167321
99,-0.094389,-0.033921,-0.007781,0.115954,-0.323978,-0.273302,0.131332
100,-0.051621,-0.033405,-0.003195,0.109201,-0.310544,-0.264329,0.073317
101,-0.075683,-0.025486,-0.008708,0.070840,-0.328105,-0.305227,0.121986
102,-0.062429,-0.028500,-0.019790,0.114646,-0.293907,-0.246344,0.146807
103,-0.007149,0.008344,-0.035859,0.116386,-0.249829,-0.216674,0.174070
104,-0.045815,0.002018,-0.010323,0.101288,-0.320241,-0.315665,0.231537
105,-0.069882,-0.032536,0.001431,0.115097,-0.337171,-0.318586,0.099749
106,-0.063338,-0.031506,0.010582,0.130424,-0.308830,-0.271240,0.096150
107,-0.061962,-0.035055,-0.004755,0.141253,-0.345636,-0.347416,0.128308
108,-0.082552,-0.043263,0.008644,0.097128,-0.307511,-0.322089,0.136075
109,-0.051056,-0.040729,0.002109,0.113608,-0.338322,-0.319994,0.083663
110,-0.076319,-0.030225,0.008223,0.136009,-0.341762,-0.340377,0.082219
111,-0.032842,-0.019303,0.002432,0.064958,-0.317957,-0.309895,0.169569
112,-0.044610,-0.023068,-0.022410,0.124760,-0.324993,-0.301841,0.105730
113,-0.080216,-0.015712,-0.011146,0.095133,-0.343124,-0.336731,0.126350
114,-0.061622,-0.023555,-0.000652,0.106257,-0.346723,-0.377484,0.085345
115,-0.061363,-0.032713,-0.010914,0.080923,-0.340182,-0.328056,0.090630
116,-0.050638,-0.037734,-0.016566,0.127012,-0.365798,-0.340926,0.095204
117,-0.041703,-0.028508,-0.005882,0.108996,-0.344749,-0.373428,0.091299
118,-0.070717,-0.004949,-0.004403,0.107761,-0.353720,-0.333288,0.097988
119,-0.037227,-0.000695,-0.010261,0.121174,-0.334448,-0.341211,0.079039
120,-0.035194,-0.018722,-0.007535,0.089996,-0.316971,-0.321881,0.082115
121,-0.046620,0.007140,-0.009244,0.065022,-0.318952,-0.272864,0.105295
