Volume,TransX_mm,TransY_mm,TransZ_mm,RotPitch_deg,RotRoll_deg,RotYaw_deg,FD_mm
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-1.273900,1.576283,-1.625983,3.607571,-0.421279,-1.875430,9.628620
3,-1.257422,1.796528,-0.513839,3.591634,-0.297620,-1.836021,1.505077
4,-1.227967,1.718451,-0.883239,3.569978,-0.311478,-1.820089,0.521827
5,-1.231478,1.722600,-0.613560,3.572589,-0.291691,-1.817594,0.299062
6,-1.251848,1.694347,-0.792899,3.541071,-0.336307,-1.790513,0.318034
7,-1.270557,1.720588,-0.652321,3.571735,-0.317501,-1.785621,0.232968
8,-1.285520,1.679029,-0.773469,3.542635,-0.348707,-1.781249,0.234113
9,-1.307645,1.714355,-0.674726,3.576879,-0.354585,-1.779902,0.192383
10,-1.315301,1.676491,-0.771189,3.547992,-0.366092,-1.787007,0.183434
11,-1.309271,1.675853,-0.703141,3.562393,-0.353670,-1.797197,0.107016
12,-1.311128,1.676689,-0.761685,3.528691,-0.370148,-1.788650,0.112487
13,-1.300157,1.753906,-0.758365,3.585136,-0.340550,-1.771899,0.181212
14,-1.254792,1.627701,-0.745056,3.535193,-0.318447,-1.760324,0.257853
15,-1.234470,1.693152,-0.674913,3.556792,-0.291919,-1.746873,0.209651
16,-1.220993,1.693759,-0.693603,3.596808,-0.280526,-1.740445,0.083245
17,-1.245977,1.688134,-0.699113,3.581723,-0.280944,-1.729375,0.059309
18,-1.263453,1.726315,-0.706471,3.603235,-0.302814,-1.732195,0.103335
19,-1.292769,1.774398,-0.753661,3.621917,-0.314061,-1.742026,0.159284
20,-1.301974,1.779705,-0.793180,3.658878,-0.314351,-1.741222,0.087242
21,-1.339875,1.819951,-0.813758,3.706312,-0.345344,-1.746041,0.171370
22,-1.306425,1.799898,-0.799225,3.710211,-0.319379,-1.743441,0.096364
23,-1.286227,1.752878,-0.683171,3.620204,-0.306890,-1.759706,0.286913
24,-1.087217,1.280269,-0.582636,3.504537,-0.099905,-1.767661,1.060662
25,-0.924032,1.125723,-0.472568,3.328965,0.097580,-1.805976,0.786789
26,-0.917484,1.638308,-0.659496,3.492483,0.006373,-1.676856,1.041028
27,-0.793483,1.638448,-0.578828,3.528808,0.088046,-1.626298,0.351902
28,-0.847952,1.756917,-0.666937,3.549225,0.022438,-1.627762,0.337394
29,-0.866567,1.863334,-0.669826,3.507762,-0.091704,-1.558039,0.324556
30,-0.878299,1.870601,-0.744711,3.471292,-0.117165,-1.498053,0.200277
31,-0.888636,1.895230,-0.764538,3.521110,-0.136663,-1.512084,0.127529
32,-1.005457,1.818018,-0.819477,3.493496,-0.169069,-1.599444,0.377585
33,-1.016259,1.793401,-0.860318,3.464337,-0.188603,-1.620416,0.137054
34,-1.057931,1.773248,-0.682542,3.430029,-0.192437,-1.686415,0.330480
35,-0.866409,1.362071,-0.339664,3.072867,0.031675,-1.677361,1.460736
36,-0.823247,1.260779,-0.353825,2.870428,0.064967,-1.602547,0.429616
37,-0.893881,1.545056,-0.438975,3.097955,-0.020001,-1.585432,0.727700
38,-0.876762,1.441466,-0.399697,3.111079,-0.024003,-1.574408,0.184553
39,-0.873305,1.487162,-0.362066,3.080424,-0.006649,-1.568319,0.133993
40,-0.857115,1.518327,-0.397420,3.141588,0.004016,-1.548643,0.162561
41,-0.880713,1.525817,-0.318038,3.178751,-0.021593,-1.549586,0.166072
42,-0.893043,1.504135,-0.384652,3.173363,-0.009285,-1.539725,0.124675
43,-0.886490,1.509695,-0.350576,3.156165,0.004237,-1.521759,0.088675
44,-0.897147,1.523305,-0.371165,3.154001,-0.004155,-1.496887,0.075773
45,-0.891705,1.534917,-0.345545,3.146501,-0.001317,-1.484578,0.062437
