Contrast,Peak_T,MNI_x_mm,MNI_y_mm,MNI_z_mm
face_pos,4.5676,42.0,20.0,24.0
fruit_pos,5.0889,-2.0,-50.0,64.0
object_pos,3.5796,-28.0,50.0,4.0
AllVisual_pos,4.2396,42.0,20.0,24.0
